Number,Label,Length_px
45,FR_NTR1_C1_F_FEMUR_13.tif,258.645
46,FR_NTR1_C1_F_FEMUR_14.tif,221.488
47,FR_NTR1_C1_F_FEMUR_15.tif,241.919
48,FR_NTR1_C1_F_FEMUR_16.tif,263.615
49,FR_NTR1_C1_F_FEMUR_17.tif,266.58
50,FR_NTR1_C1_F_FEMUR_18.tif,263.213
51,FR_NTR1_C1_F_FEMUR_19.tif,257.124
52,FR_NTR1_C1_F_FEMUR_2.tif,249.159
53,FR_NTR1_C1_F_FEMUR_20.tif,266.563
54,FR_NTR1_C1_F_FEMUR_3.tif,244.706
55,FR_NTR1_C1_F_FEMUR_4.tif,321.995
56,FR_NTR1_C1_F_FEMUR_5.tif,272.753
57,FR_NTR1_C1_F_FEMUR_6.tif,304.631
58,FR_NTR1_C1_F_FEMUR_7.tif,276.279
59,FR_NTR1_C1_F_FEMUR_8.tif,256.955
60,FR_NTR1_C1_F_FEMUR_9.tif,299.79
41,FR_NTR1_C1_F_HEAD_1.tif,465.752
42,FR_NTR1_C1_F_HEAD_10.tif,477.419
43,FR_NTR1_C1_F_HEAD_11.tif,466.378
44,FR_NTR1_C1_F_HEAD_12.tif,464.725
45,FR_NTR1_C1_F_HEAD_13.tif,401.796
46,FR_NTR1_C1_F_HEAD_14.tif,349.036
47,FR_NTR1_C1_F_HEAD_15.tif,407.647
48,FR_NTR1_C1_F_HEAD_16.tif,425.116
49,FR_NTR1_C1_F_HEAD_17.tif,394.92
50,FR_NTR1_C1_F_HEAD_18.tif,392.256
51,FR_NTR1_C1_F_HEAD_19.tif,397.102
52,FR_NTR1_C1_F_HEAD_2.tif,386.036
53,FR_NTR1_C1_F_HEAD_20.tif,396.556
54,FR_NTR1_C1_F_HEAD_3.tif,396.415
55,FR_NTR1_C1_F_HEAD_4.tif,446.31
56,FR_NTR1_C1_F_HEAD_5.tif,409.738
57,FR_NTR1_C1_F_HEAD_6.tif,457.542
58,FR_NTR1_C1_F_HEAD_7.tif,454.094
59,FR_NTR1_C1_F_HEAD_8.tif,399.366
60,FR_NTR1_C1_F_HEAD_9.tif,459.064
41,FR_NTR1_C1_F_TARSUS_1.tif,107.229
42,FR_NTR1_C1_F_TARSUS_10.tif,113.137
43,FR_NTR1_C1_F_TARSUS_11.tif,113.323
44,FR_NTR1_C1_F_TARSUS_12.tif,109.179
45,FR_NTR1_C1_F_TARSUS_13.tif,85.376
46,FR_NTR1_C1_F_TARSUS_14.tif,76.295
