"treatment","cohort0","replicate","cohort","sex","individual","tarsus","femur","tibia","winglength","wingwidth","thorax","head","thorax_c","cohort_n"
"NT","1","1",1,"F","2",7.42090172925561,9.01167257684183,8.68178790188399,11.0063404563086,9.90148280985274,9.82923023226217,9.66625951485942,-0.035089443228502,2
"NT","1","1",1,"F","3",7.44898566735695,9.0207470894075,8.74244142021984,10.9882130074333,9.91544919444508,9.82693523025182,9.62751644800258,-0.0373844452388479,2
"NT","1","1",1,"F","4",7.4657200120244,9.03576943645221,8.68215378457427,10.9820293412245,9.89705420665094,9.82301566370429,9.67350208164193,-0.0413040117863765,2
"NT","1","1",1,"F","5",7.4438317235167,9.07764234497565,8.76725712841939,11.0040884122379,9.91390619751583,9.8927253693903,9.6540356279187,0.0284056938996269,2
"NT","1","1",1,"F","6",7.37176532049845,8.96955114468034,8.64611008194973,10.9247444637908,9.85478590112332,9.78581344823228,9.60189993818285,-0.0785062272583907,2
"NT","1","1",1,"F","7",7.5247321029589,9.08591254350368,8.76245778444082,11.0004372084132,9.9331103624351,9.89591131166996,9.66226753363688,0.0315916361792858,2
"NT","1","1",1,"F","8",7.4202282204276,9.02519350311155,8.79822636816011,10.9716786637741,9.87035954066883,9.8442998385195,9.62633363211421,-0.0200198369711675,2
"NT","1","1",1,"F","9",7.40959849956276,9.02877881173495,8.65699346267174,10.9300864554752,9.84305350943115,9.75896729352399,9.58240824866365,-0.105352381966679,2
"NT","1","1",1,"F","10",7.41553626994565,9.01921190863459,8.76789132204621,10.9596142643319,9.84259765483555,9.79905148440274,9.58241660400001,-0.0652681910879274,2
"NT","1","1",1,"F","11",7.42065115804882,8.99759856390973,8.78425282429593,10.9376966211176,9.87970683825723,9.81263696895896,9.65042681867757,-0.0516827065317074,2
"NT","1","1",1,"F","12",7.5247321029589,9.17191559864209,8.95625248822543,11.1516540387773,10.0270850021959,10.0054363690704,9.78593438675953,0.141116693579715,2
"NT","1","1",1,"F","13",7.69624133763835,9.18257635491276,8.88453247565481,11.095596810353,9.95460381417872,9.93311458305039,9.72895752917378,0.0687949075597185,2
"NT","1","1",1,"F","14",7.57982684403068,9.19876374976368,8.92929267778601,11.1320068928076,9.96542088172384,10.0384910542981,9.81368366173574,0.174171378807415,2
"NT","1","1",1,"F","15",7.49183530298111,9.0598676842926,8.79453868515935,11.0072702753463,9.9142483013662,9.82315945151932,9.65668077146203,-0.0411602239713496,2
"NT","1","1",1,"F","16",7.63953100521514,9.19224635154384,8.87262834394883,11.0879073694683,9.96814802083153,9.98760726158693,9.77286046760026,0.123287586096261,2
"NT","1","1",1,"F","17",7.36592082688434,9.04556779884782,8.69990478140858,10.9449265828492,9.84694286581256,9.85883659532658,9.5912267835371,-0.00548308016409038,2
"NT","1","1",1,"F","18",7.65904614744899,9.22458770430014,8.97359222006448,11.1852730703361,10.0600009202274,10.0492618249125,9.79235615181246,0.184942149421843,2
"NT","1","1",1,"F","19",7.38760448631531,9.05620264648441,8.72542481666182,10.9538761769086,9.88029063996849,9.79151072175421,9.63989655020062,-0.0728089537364571,2
