"treatment","replicate","cohort","sex","individual","femur","head","tarsus","thorax","tibia","wing","thorax_c"
"SCT","3",2,"M","19",8.87785510899043,9.41544395130779,7.32166608655926,9.54632007390043,8.58161210591842,10.7502344994143,-0.209852415401501
"SCT","3",2,"M","2",8.92363223869947,9.40306361449271,7.1635479145548,9.50982649737958,8.55520383973206,10.6864505441302,-0.246345991922347
"SCT","3",2,"M","20",8.81737362170301,9.54533997846461,7.35146614838658,9.6179443002688,8.70007706018159,10.7419914338188,-0.138228189033129
"SCT","3",2,"M","3",8.68495821433224,9.26992288841697,7.04547445125523,9.36134450540108,8.42118163074563,10.5916145021451,-0.39482798390085
"SCT","3",2,"M","4",8.88408760360673,9.46814867555532,7.06201612719219,9.5268269988631,8.60859783150984,10.6830596177675,-0.229345490438822
"SCT","3",2,"M","5",8.8746229773617,9.41487403691137,7.13883648442667,9.43331108548699,8.56510699560895,10.6447662325328,-0.32286140381494
"SCT","3",2,"M","6",8.94703710980376,9.414779684533,7.28966047664055,9.56067568667811,8.68687385007826,10.7141097108581,-0.195496802623815
"SCT","3",2,"M","7",8.82156702212777,9.45425321950288,7.31657448331053,9.52189678378157,8.5683128836844,10.6955599609705,-0.234275705520355
"SCT","3",2,"M","8",8.46733387514596,9.28177539743986,7.09998919350072,9.32499614309388,8.37993026455057,10.4673717830453,-0.431176346208051
"SCT","3",2,"M","9",8.77609026778557,9.42514895226543,7.39283321523249,9.40771721819874,8.53272979776547,10.6272441801702,-0.348455271103189
"SCT","4",0,"F","1",9.24953242989925,9.84431902393352,7.65561478864827,10.1351068300644,8.99336962188807,11.1384377646111,0.378934340762484
"SCT","4",0,"F","10",9.23025324878746,9.91728557537291,7.83742807110926,10.1501025587458,9.03467296561674,11.1109076955459,0.393930069443897
"SCT","4",0,"F","11",9.08140006131277,9.77799569212581,7.73619187732052,10.0003737044249,8.85800585756257,10.9820380155437,0.244201215122979
"SCT","4",0,"F","12",9.23515959060785,9.87111713122797,7.88791051656906,10.1524197625743,8.95497501872655,11.1148842808897,0.396247273272389
"SCT","4",0,"F","13",9.25828334845555,9.82779597197055,7.71384451514282,10.038385376704,9.0328195755143,11.15808498985,0.282212887402117
"SCT","4",0,"F","14",9.23559144126079,9.87431995082528,7.80299655777904,10.1078870430657,8.97779571595364,11.1083696544647,0.351714553763772
"SCT","4",0,"F","15",9.18242663133986,9.81540934567902,7.69443980831166,9.98278473942365,9.00296240036343,11.0962005130029,0.226612250121722
"SCT","4",0,"F","16",9.23143675769216,9.89701849501096,7.68894950679975,10.1048710183863,8.943738511927,11.1527062048964,0.348698529084391
"SCT","4",0,"F","17",9.06982195407693,9.81575179835306,7.62322113678897,10.1111005983289,8.9096838735841,11.183421575168,0.354928109027023
