Initials,Treatment,Replicate,Generation,Cohort,Sex,Individual,Trait,length,scale,scale_mm,length_mm,NewTrait,Cohort0
AW,NT,1,35,2,F,20,L,313.904,1.86e-6,0.0018599999999999999,0.58386144,femur,1
AW,NT,1,35,2,F,20,L,255.049,1.86e-6,0.0018599999999999999,0.47439114,tibia,1
AW,NT,1,35,2,M,18,L,300.528,1.86e-6,0.0018599999999999999,0.55898208,femur,1
AW,NT,1,35,2,M,18,L,231.659,1.86e-6,0.0018599999999999999,0.43088573999999996,tibia,1
AW,NT,1,35,2,M,19,L,300.794,1.86e-6,0.0018599999999999999,0.55947684,femur,1
AW,NT,1,35,2,M,19,L,253.819,1.86e-6,0.0018599999999999999,0.4721033399999999,tibia,1
AW,NT,1,35,2,M,17,L,307.234,1.86e-6,0.0018599999999999999,0.5714552399999999,femur,1
AW,NT,1,35,2,M,17,L,246.83,1.86e-6,0.0018599999999999999,0.4591038,tibia,1
AW,NT,1,35,2,M,16,L,308.058,1.86e-6,0.0018599999999999999,0.57298788,femur,1
AW,NT,1,35,2,M,16,L,254.943,1.86e-6,0.0018599999999999999,0.47419398,tibia,1
AW,NT,1,35,2,M,15,L,312.618,1.86e-6,0.0018599999999999999,0.58146948,femur,1
AW,NT,1,35,2,M,15,L,253.032,1.86e-6,0.0018599999999999999,0.47063952,tibia,1
AW,NT,1,35,2,M,14,L,303.402,1.86e-6,0.0018599999999999999,0.56432772,femur,1
AW,NT,1,35,2,M,14,L,260.048,1.86e-6,0.0018599999999999999,0.48368928,tibia,1
AW,NT,1,35,2,M,13,L,313.677,1.86e-6,0.0018599999999999999,0.58343922,femur,1
AW,NT,1,35,2,M,13,L,262.488,1.86e-6,0.0018599999999999999,0.48822768,tibia,1
AW,NT,1,35,2,M,12,L,312.285,1.86e-6,0.0018599999999999999,0.5808501,femur,1
AW,NT,1,35,2,M,12,L,254.372,1.86e-6,0.0018599999999999999,0.47313192,tibia,1
AW,NT,1,35,2,M,11,L,310.04,1.86e-6,0.0018599999999999999,0.5766744,femur,1
AW,NT,1,35,2,M,11,L,257.513,1.86e-6,0.0018599999999999999,0.4789741799999999,tibia,1
AW,NT,1,35,2,M,10,L,295.601,1.86e-6,0.0018599999999999999,0.54981786,femur,1
AW,NT,1,35,2,M,10,L,249.61,1.86e-6,0.0018599999999999999,0.4642746,tibia,1
AW,NT,1,35,2,M,9,L,303.842,1.86e-6,0.0018599999999999999,0.56514612,femur,1
AW,NT,1,35,2,M,9,L,240.002,1.86e-6,0.0018599999999999999,0.44640372,tibia,1
AW,NT,1,35,2,M,8,L,260.647,1.86e-6,0.0018599999999999999,0.48480341999999993,femur,1
AW,NT,1,35,2,M,8,L,205.548,1.86e-6,0.0018599999999999999,0.38231928,tibia,1
AW,NT,1,35,2,M,7,L,254.448,1.86e-6,0.0018599999999999999,0.47327327999999996,femur,1
AW,NT,1,35,2,M,7,L,220.771,1.86e-6,0.0018599999999999999,0.41063405999999997,tibia,1
AW,NT,1,35,2,M,6,L,312.162,1.86e-6,0.0018599999999999999,0.5806213199999999,femur,1
AW,NT,1,35,2,M,6,L,253.055,1.86e-6,0.0018599999999999999,0.4706823,tibia,1
AW,NT,1,35,2,M,5,L,281.178,1.86e-6,0.0018599999999999999,0.5229910799999999,femur,1
AW,NT,1,35,2,M,5,L,220.057,1.86e-6,0.0018599999999999999,0.40930601999999994,tibia,1
AW,NT,1,35,2,M,4,L,279.342,1.86e-6,0.0018599999999999999,0.51957612,femur,1
AW,NT,1,35,2,M,4,L,233.112,1.86e-6,0.0018599999999999999,0.43358831999999997,tibia,1
AW,NT,1,35,2,M,3,L,280.321,1.86e-6,0.0018599999999999999,0.52139706,femur,1
AW,NT,1,35,2,M,3,L,225.488,1.86e-6,0.0018599999999999999,0.41940767999999995,tibia,1
AW,NT,1,35,2,M,2,L,302.352,1.86e-6,0.0018599999999999999,0.5623747199999999,femur,1
AW,NT,1,35,2,M,2,L,261.565,1.86e-6,0.0018599999999999999,0.48651089999999997,tibia,1
AW,NT,1,35,2,M,1,L,284.881,1.86e-6,0.0018599999999999999,0.52987866,femur,1
AW,NT,1,35,2,M,1,L,234.182,1.86e-6,0.0018599999999999999,0.43557851999999997,tibia,1
AW,NT,1,35,2,M,20,L,307.353,1.86e-6,0.0018599999999999999,0.57167658,femur,1
AW,NT,1,35,2,M,20,L,252.723,1.86e-6,0.0018599999999999999,0.47006478,tibia,1
AW,NT,1,35,3,F,19,L,361.668,1.48e-6,0.00148,0.53526864,femur,2
AW,NT,1,35,3,F,19,L,283.979,1.48e-6,0.00148,0.42028891999999995,tibia,2
AW,NT,1,35,3,F,18,L,349.407,1.48e-6,0.00148,0.51712236,femur,2
AW,NT,1,35,3,F,18,L,278.338,1.48e-6,0.00148,0.41194024,tibia,2
AW,NT,1,35,3,F,17,L,335.596,1.48e-6,0.00148,0.49668208,femur,2
AW,NT,1,35,3,F,17,L,276.986,1.48e-6,0.00148,0.40993927999999996,tibia,2
AW,NT,1,35,3,F,16,L,361.271,1.48e-6,0.00148,0.53468108,femur,2
AW,NT,1,35,3,F,16,L,281.716,1.48e-6,0.00148,0.41693968,tibia,2
AW,NT,1,35,3,F,15,L,331.494,1.48e-6,0.00148,0.49061112,femur,2
AW,NT,1,35,3,F,15,L,286.044,1.48e-6,0.00148,0.42334511999999996,tibia,2
AW,NT,1,35,3,F,14,L,353.238,1.48e-6,0.00148,0.52279224,femur,2
AW,NT,1,35,3,F,14,L,281.965,1.48e-6,0.00148,0.41730819999999996,tibia,2
AW,NT,1,35,3,F,13,L,338.386,1.48e-6,0.00148,0.5008112800000001,femur,2
AW,NT,1,35,3,F,13,L,261.966,1.48e-6,0.00148,0.38770968,tibia,2
AW,NT,1,35,3,F,12,L,341.686,1.48e-6,0.00148,0.50569528,femur,2
AW,NT,1,35,3,F,12,L,289.5,1.48e-6,0.00148,0.42846,tibia,2
AW,NT,1,35,3,F,11,L,342.253,1.48e-6,0.00148,0.5065344399999999,femur,2
AW,NT,1,35,3,F,11,L,261.375,1.48e-6,0.00148,0.386835,tibia,2
AW,NT,1,35,3,F,10,L,351.07,1.48e-6,0.00148,0.5195836,femur,2
AW,NT,1,35,3,F,10,L,284.58,1.48e-6,0.00148,0.42117839999999995,tibia,2
AW,NT,1,35,3,F,9,L,351.023,1.48e-6,0.00148,0.51951404,femur,2
AW,NT,1,35,3,F,9,L,281.301,1.48e-6,0.00148,0.41632547999999997,tibia,2
AW,NT,1,35,3,F,8,L,337.615,1.48e-6,0.00148,0.4996702,femur,2
AW,NT,1,35,3,F,8,L,283.81,1.48e-6,0.00148,0.4200388,tibia,2
AW,NT,1,35,3,F,7,L,363.65,1.48e-6,0.00148,0.538202,femur,2
AW,NT,1,35,3,F,7,L,280.303,1.48e-6,0.00148,0.41484844,tibia,2
AW,NT,1,35,3,F,6,L,348.77,1.48e-6,0.00148,0.5161796,femur,2
AW,NT,1,35,3,F,6,L,288.045,1.48e-6,0.00148,0.42630660000000004,tibia,2
